АКСЕЛЕРОМЕТР X (m/s²);АКСЕЛЕРОМЕТР Y (m/s²);АКСЕЛЕРОМЕТР Z (m/s²);ТЯЖЕСТЬ X (m/s²);ТЯЖЕСТЬ Y (m/s²);ТЯЖЕСТЬ Z (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ X (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ Y (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ Z (m/s²);ГИРОСКОП X (rad/s);ГИРОСКОП Y (rad/s);ГИРОСКОП Z (rad/s);ОСВЕЩЕНИЕ (lux);МАГНИТНОЕ ПОЛЕ X (μT);МАГНИТНОЕ ПОЛЕ Y (μT);МАГНИТНОЕ ПОЛЕ Z (μT);ОРИЕНТАЦИЯ Z (azimuth °);ОРИЕНТАЦИЯ X (pitch °);ОРИЕНТАЦИЯ Y (roll °);ПРИБЛИЖЕНИЕ (i);УРОВЕНЬ ЗВУКА (dB);МЕСТОПОЛОЖЕНИЕ Широта : ;МЕСТОПОЛОЖЕНИЕ Долгота : ;МЕСТОПОЛОЖЕНИЕ Высота над ур. моря ( m);МЕСТОПОЛОЖЕНИЕ Высота над ур. моря-google ( m);МЕСТОПОЛОЖЕНИЕ Скорость ( км/ч);МЕСТОПОЛОЖЕНИЕ Погрешность ( m);МЕСТОПОЛОЖЕНИЕ ОРИЕНТАЦИЯ (°);доступных спутников;Время он начала в мс. ;YYYY-MO-DD HH-MI-SS_SSS
0.506439;2.824341;9.476791;-0.980596;3.341284;9.167586;1.480031;-0.493076;0.374689;-0.352905;-0.169434;-1.424835;114.0;27.8259;-8.3603;-44.4565;287.8608;-20.4093;7.1748;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;58;2021-10-04 19:14:36:328
0.506439;2.824341;9.476791;-0.980596;3.341284;9.167586;1.480031;-0.493076;0.374689;-0.352905;-0.169434;-1.424835;114.0;27.8259;-8.3603;-44.4565;287.8608;-20.4093;7.1748;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;61;2021-10-04 19:14:36:331
0.506439;2.824341;9.476791;-0.980596;3.341284;9.167586;1.480031;-0.493076;0.374689;-0.522278;-0.070374;-1.368378;114.0;27.8259;-8.3603;-44.4565;287.8608;-20.4093;7.1748;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;66;2021-10-04 19:14:36:336
0.506439;2.824341;9.476791;-0.980596;3.341284;9.167586;1.480031;-0.493076;0.374689;-0.522278;-0.070374;-1.368378;114.0;27.8259;-8.3603;-44.4565;287.8608;-20.4093;7.1748;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;70;2021-10-04 19:14:36:340
-0.472794;3.243332;8.140824;-1.021508;3.266425;9.19007;0.541138;0.001134;-0.981082;-0.574478;-0.241867;-1.36412;114.0;27.8259;-8.3603;-44.4565;287.8608;-20.4093;7.1748;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;76;2021-10-04 19:14:36:346
-0.472794;3.243332;8.140824;-1.021508;3.266425;9.19007;0.541138;0.001134;-0.981082;-0.587265;-1.119659;-1.324707;114.0;26.3062;-7.6111;-43.6783;290.8236;-19.456;6.3426;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;83;2021-10-04 19:14:36:353
-0.472794;3.243332;8.140824;-1.021508;3.266425;9.19007;0.541138;0.001134;-0.981082;-0.587265;-1.119659;-1.324707;106.0;26.3062;-7.6111;-43.6783;290.8236;-19.456;6.3426;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;86;2021-10-04 19:14:36:356
-0.745728;2.829132;9.603683;-0.94008;3.127657;9.246859;0.187157;-0.274585;0.4276;-0.587265;-1.119659;-1.324707;106.0;26.3062;-7.6111;-43.6783;290.8236;-19.456;6.3426;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;91;2021-10-04 19:14:36:361
-0.745728;2.829132;9.603683;-0.94008;3.127657;9.246859;0.187157;-0.274585;0.4276;-0.319885;-1.639496;-1.242676;106.0;25.6958;-7.3166;-46.1121;290.8236;-19.456;6.3426;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;96;2021-10-04 19:14:36:366
-0.745728;2.829132;9.603683;-0.94008;3.127657;9.246859;0.187157;-0.274585;0.4276;-0.319885;-1.639496;-1.242676;106.0;25.6958;-7.3166;-46.1121;290.8236;-19.456;6.3426;1.97;21.60779;49.050377;38.218323;234.8387;NaN;;220.64517;;0 / 32;101;2021-10-04 19:14:36:371
