АКСЕЛЕРОМЕТР X (m/s²);АКСЕЛЕРОМЕТР Y (m/s²);АКСЕЛЕРОМЕТР Z (m/s²);ТЯЖЕСТЬ X (m/s²);ТЯЖЕСТЬ Y (m/s²);ТЯЖЕСТЬ Z (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ X (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ Y (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ Z (m/s²);ГИРОСКОП X (rad/s);ГИРОСКОП Y (rad/s);ГИРОСКОП Z (rad/s);ОСВЕЩЕНИЕ (lux);МАГНИТНОЕ ПОЛЕ X (μT);МАГНИТНОЕ ПОЛЕ Y (μT);МАГНИТНОЕ ПОЛЕ Z (μT);ОРИЕНТАЦИЯ Z (azimuth °);ОРИЕНТАЦИЯ X (pitch °);ОРИЕНТАЦИЯ Y (roll °);ПРИБЛИЖЕНИЕ (i);УРОВЕНЬ ЗВУКА (dB);МЕСТОПОЛОЖЕНИЕ Широта : ;МЕСТОПОЛОЖЕНИЕ Долгота : ;МЕСТОПОЛОЖЕНИЕ Высота над ур. моря ( m);МЕСТОПОЛОЖЕНИЕ Высота над ур. моря-google ( m);МЕСТОПОЛОЖЕНИЕ Скорость ( км/ч);МЕСТОПОЛОЖЕНИЕ Погрешность ( m);МЕСТОПОЛОЖЕНИЕ ОРИЕНТАЦИЯ (°);доступных спутников;Время он начала в мс. ;YYYY-MO-DD HH-MI-SS_SSS
0.051544;0.772522;9.299622;-0.353525;0.72409;9.773489;0.410711;0.022529;-0.372204;-0.16423;0.198227;-0.248474;30.0;-11.5082;-6.7429;-42.8696;105.6379;-4.322;1.979;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;15;2021-10-04 11:13:06:742
-0.037048;0.913773;9.527069;-0.378079;0.704159;9.774027;0.335396;0.220107;-0.101306;-0.16423;0.198227;-0.248474;30.0;-13.1851;-6.1539;-44.9936;105.6379;-4.322;1.979;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;21;2021-10-04 11:13:06:748
-0.037048;0.913773;9.527069;-0.3780779;0.709;0.704159;9.774027;0.335396;0.220107;-0.101306;-0.190857;0.277054;-0.299606;30.0;-13.1851;-6.1539;-44.9936;105.6379;-4.322;1.979;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;25;2021-10-04 11:13:06:752
-0.037048;0.913773;9.527069;-0.37804159;9.774027;0.335396;0.220107;-0.101306;-0.190857;0.277054;-0.299606;30.0;-13.1851;-6.1539;-44.9936;105.6379;-4.322;1.979;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;30;2021-10-04 11:13:06:757
-0.286041;0.992783;9.711426;-0.425064;0.673338;9.774269;0.132694;0.32947;0.082682;-0.194061;0.300491;-0.320908;30.0;-13.1851;-6.1539;-44.9936;105.6379;-4.322;1.979;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;36;2021-10-04 11:13:06:763
-0.286041;0.992783;9.711426;-0.425064;0.673338;9.774269;0.132694;0.32947;0.082682;-0.194061;0.300491;-0.320908;30.0;-13.1927;-7.6736;-45.3323;108.2695;-3.9371;2.4901;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;40;2021-10-04 11:13:06:767
-0.286041;0.992783;9.711426;-0.425064;0.673338;9.774269;0.132694;0.32947;0.082682;-0.194061;0.300491;-0.320908;30.0;-13.1927;-7.6736;-45.3323;108.2695;-3.9371;2.4901;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;45;2021-10-04 11:13:06:772
-0.594894;1.002365;9.993942;-0.479142;0.642611;9.773836;-0.122818;0.36923;0.36423;-0.184463;0.327118;-0.31665;30.0;-13.1927;-7.6736;-45.3323;108.2695;-3.9371;2.4901;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;50;2021-10-04 11:13:06:777
-0.594894;1.002365;9.993942;-0.479142;0.642611;9.773836;-0.122818;0.36923;0.36423;-0.175949;0.317535;-0.281494;30.0;-13.1927;-7.6736;-45.3323;108.2695;-3.9371;2.4901;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;58;2021-10-04 11:13:06:785
-0.594894;1.002365;9.993942;-0.479142;0.642611;9.773836;-0.122818;0.36923;0.36423;-0.175949;0.317535;-0.281494;30.0;-11.5173;-7.9636;-45.1843;108.2695;-3.9371;2.4901;2.0;-5.49831;49.050266;38.218082;236.9255;NaN;0.0;34.580647;;8 / 22;59;2021-10-04 11:13:06:786
